Date : 2019-12-15 21:16:53
Directory : /Users/jens/Documents/GitHub/pxliot
Total : 134 files,  50375 codes, 1041 comments, 9347 blanks, all 60763 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/jens/Documents/GitHub/pxliot/client/docs/IoT_Graphs.vue.html                    | HTML       |        332 |          3 |         43 |        378 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/IoT_IndividualData.vue.html            | HTML       |        197 |          3 |         30 |        230 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/Iot.vue.html                           | HTML       |        111 |          3 |         31 |        145 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/Login.vue.html                         | HTML       |        172 |          3 |         30 |        205 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/Register.vue.html                      | HTML       |        172 |          3 |         35 |        210 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/fonts/OpenSans-Bold-webfont.svg        | XML        |      1,830 |          0 |          0 |      1,830 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/fonts/OpenSans-BoldItalic-webfont.svg  | XML        |      1,830 |          0 |          0 |      1,830 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/fonts/OpenSans-Italic-webfont.svg      | XML        |      1,830 |          0 |          0 |      1,830 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/fonts/OpenSans-Light-webfont.svg       | XML        |      1,831 |          0 |          0 |      1,831 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/fonts/OpenSans-LightItalic-webfont.svg | XML        |      1,835 |          0 |          0 |      1,835 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/fonts/OpenSans-Regular-webfont.svg     | XML        |      1,831 |          0 |          0 |      1,831 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/global.html                            | HTML       |        385 |          3 |      1,003 |      1,391 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/index.html                             | HTML       |         26 |          3 |         36 |         65 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/module-Add.html                        | HTML       |        162 |          3 |        292 |        457 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/module-Dashboard.html                  | HTML       |        305 |          3 |        723 |      1,031 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/module-Delete.html                     | HTML       |        121 |          3 |        213 |        337 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/module-Edit.html                       | HTML       |        136 |          3 |        213 |        352 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/module-Graphs.html                     | HTML       |        144 |          3 |        253 |        400 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/module-IndividualData.html             | HTML       |        111 |          3 |        291 |        405 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/module-Iot.html                        | HTML       |         96 |          3 |        213 |        312 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/module-Login.html                      | HTML       |        111 |          3 |        213 |        327 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/module-Register.html                   | HTML       |        116 |          3 |        213 |        332 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/scripts/linenumber.js                  | JavaScript |         22 |          1 |          3 |         26 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/scripts/prettify/lang-css.js           | JavaScript |          2 |          0 |          1 |          3 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/scripts/prettify/prettify.js           | JavaScript |         29 |          0 |          0 |         29 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/styles/jsdoc-default.css               | CSS        |        304 |          0 |         55 |        359 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/styles/prettify-jsdoc.css              | CSS        |         78 |         17 |         17 |        112 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/styles/prettify-tomorrow.css           | CSS        |         74 |         33 |         26 |        133 |
| /Users/jens/Documents/GitHub/pxliot/client/jest.config.js                              | JavaScript |          3 |          0 |          1 |          4 |
| /Users/jens/Documents/GitHub/pxliot/client/jsdoc.json                                  | JSON       |         16 |          0 |          1 |         17 |
| /Users/jens/Documents/GitHub/pxliot/client/package-lock.json                           | JSON       |     15,951 |          0 |          1 |     15,952 |
| /Users/jens/Documents/GitHub/pxliot/client/package.json                                | JSON       |         47 |          0 |          1 |         48 |
| /Users/jens/Documents/GitHub/pxliot/client/public/index.html                           | HTML       |         18 |          2 |          2 |         22 |
| /Users/jens/Documents/GitHub/pxliot/client/sql/tests.sql                               | SQL        |          5 |          0 |          0 |          5 |
| /Users/jens/Documents/GitHub/pxliot/client/sql/updatesensor.sql                        | SQL        |          3 |          0 |          1 |          4 |
| /Users/jens/Documents/GitHub/pxliot/client/src/App.vue                                 | Vue        |         18 |          0 |          2 |         20 |
| /Users/jens/Documents/GitHub/pxliot/client/src/assets/logo.svg                         | XML        |          1 |          0 |          1 |          2 |
| /Users/jens/Documents/GitHub/pxliot/client/src/assets/scss/_colors.scss                | SCSS       |          9 |          1 |          5 |         15 |
| /Users/jens/Documents/GitHub/pxliot/client/src/assets/scss/_responsive.scss            | SCSS       |        177 |          9 |         39 |        225 |
| /Users/jens/Documents/GitHub/pxliot/client/src/assets/scss/base/_base.scss             | SCSS       |         39 |          1 |         10 |         50 |
| /Users/jens/Documents/GitHub/pxliot/client/src/assets/scss/style.scss                  | SCSS       |          5 |          4 |          3 |         12 |
| /Users/jens/Documents/GitHub/pxliot/client/src/assets/scss/vendors/_normalize.scss     | SCSS       |        196 |        173 |         96 |        465 |
| /Users/jens/Documents/GitHub/pxliot/client/src/components/project.vue                  | Vue        |         28 |          0 |          6 |         34 |
| /Users/jens/Documents/GitHub/pxliot/client/src/components/sidebar.vue                  | Vue        |         92 |          0 |          4 |         96 |
| /Users/jens/Documents/GitHub/pxliot/client/src/firebase.js                             | JavaScript |         12 |          2 |          2 |         16 |
| /Users/jens/Documents/GitHub/pxliot/client/src/main.js                                 | JavaScript |         22 |          2 |          5 |         29 |
| /Users/jens/Documents/GitHub/pxliot/client/src/plugins/vuetify.js                      | JavaScript |          4 |          0 |          3 |          7 |
| /Users/jens/Documents/GitHub/pxliot/client/src/router/index.js                         | JavaScript |        115 |          2 |          8 |        125 |
| /Users/jens/Documents/GitHub/pxliot/client/src/views/Home.vue                          | Vue        |        103 |          0 |          5 |        108 |
| /Users/jens/Documents/GitHub/pxliot/client/src/views/IoT/Add.vue                       | Vue        |        160 |         39 |         15 |        214 |
| /Users/jens/Documents/GitHub/pxliot/client/src/views/IoT/Dashboard.vue                 | Vue        |        388 |         77 |         38 |        503 |
| /Users/jens/Documents/GitHub/pxliot/client/src/views/IoT/Delete.vue                    | Vue        |        114 |         29 |         16 |        159 |
| /Users/jens/Documents/GitHub/pxliot/client/src/views/IoT/Edit.vue                      | Vue        |        121 |         31 |         21 |        173 |
| /Users/jens/Documents/GitHub/pxliot/client/src/views/IoT/Graphs.vue                    | Vue        |        245 |         84 |         28 |        357 |
| /Users/jens/Documents/GitHub/pxliot/client/src/views/IoT/IndividualData.vue            | Vue        |        157 |         23 |         14 |        194 |
| /Users/jens/Documents/GitHub/pxliot/client/src/views/Iot.vue                           | Vue        |         62 |         19 |         13 |         94 |
| /Users/jens/Documents/GitHub/pxliot/client/src/views/Login.vue                         | Vue        |        120 |         23 |         12 |        155 |
| /Users/jens/Documents/GitHub/pxliot/client/src/views/Register.vue                      | Vue        |        116 |         24 |         17 |        157 |
| /Users/jens/Documents/GitHub/pxliot/client/tests/unit/example.spec.js                  | JavaScript |         11 |          0 |          2 |         13 |
| /Users/jens/Documents/GitHub/pxliot/client/vue.config.js                               | JavaScript |          3 |          0 |          1 |          4 |
| /Users/jens/Documents/GitHub/pxliot/php/connection.php                                 | PHP        |          8 |          0 |          0 |          8 |
| /Users/jens/Documents/GitHub/pxliot/php/feed.php                                       | PHP        |         23 |          0 |          7 |         30 |
| /Users/jens/Documents/GitHub/pxliot/php/send.php                                       | PHP        |         11 |          0 |          0 |         11 |
| Total                                                                                  |            |     50,375 |      1,041 |      9,347 |     60,763 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
